Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOCC Name2,GOCC Name3,GOCC Name4,GOCC Name5,GOCC Name6,GOCC Name7,GOCC Name8,GOCC Name9,GOCC Name10,GOCC Name11,GOCC Name12,GOCC Name13,GOCC Name14,GOCC Name15,GOCC Name16,GOCC Name17,GOCC Name18,GOCC Name19,GOCC Name20,GOCC Name21,GOCC Name22,GOCC Name23,GOCC Name24,GOCC Name25,GOCC Name26,GOCC Name27,GOCC Name28,GOCC Name29,GOCC Name30,GOCC Name31,GOCC Name32,GOCC Name33,GOCC Name34,GOCC Name35,GOCC Name36,GOCC Name37,GOCC Name38,GOCC Name39,GOCC Name40,GOCC Name41,GOCC Name42,GOCC Name43,GOCC Name44,GOCC Name45,GOCC Name46,GOCC Name47,GOCC Name48,GOCC Name49,GOCC Name50,GOCC Name51,GOCC Name52,GOCC Name53
-0.696938,-0.197567,-1.45443,,,,8,15.1,59.663,7.30E-29,8,13,8,7005100,4957900,11898000,8551000,13749000,6825400,-0.782977,-0.696938,0.632832,-0.808238,0.499371,-1.45443,-0.197567,1.25686,3,I3L0Q9;P04062;P04062-2;J3KQG4;J3KQK9;F5H241;P04062-3,I3L0Q9;P04062;P04062-2;J3KQG4;J3KQK9;F5H241,Glucosylceramidase,GBA,7,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle lumen,intracellular organelle part,intracellular part,lysosomal lumen,lysosomal membrane,lysosome,lytic vacuole,membrane,membrane-bounded organelle,membrane-enclosed lumen,organelle,organelle lumen,organelle membrane,organelle part,vacuolar lumen,vacuolar membrane,vacuolar part,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.98484,-1.14468,-1.24445,,,,4,9.5,51.887,3.96E-14,4,3,5,4455800,1583800,2172300,1468200,2517000,1208600,-1.45799,-1.24445,0.458988,-0.314809,0.0997658,-1.98484,-1.14468,0.840165,3,Q9Y646;E5RJA8;E5RJP8;E5RJZ7;E5RH35,Q9Y646;E5RJA8;E5RJP8;E5RJZ7;E5RH35,Carboxypeptidase Q,CPQ;PGCP,5,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum,extracellular region part,extracellular space,Golgi apparatus,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.919779,-0.500687,-0.591875,,,,4,17.3,35.964,4.94E-43,2,5,3,2270000,1324000,4189700,5156000,1837000,1564900,-0.67078,-0.591875,0.220406,-0.328582,0.0911878,-0.919779,-0.500687,0.419092,3,Q92820;E5RGF0,Q92820;E5RGF0,Gamma-glutamyl hydrolase,GGH,2,,,,,,,cell part,cytoplasmic membrane-bounded vesicle,cytoplasmic part,cytoplasmic vesicle,extracellular region part,extracellular space,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,melanosome,membrane-bounded organelle,membrane-bounded vesicle,organelle,pigment granule,vacuole,vesicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.206878,0.307662,0.169284,,,,4,15.8,33.868,1.51E-38,3,3,4,6695300,7025400,6247200,8912000,5371200,7520600,0.0900224,0.169284,0.26627,2.95782,0.138378,-0.206878,0.307662,0.51454,3,Q9UBR2,Q9UBR2,Cathepsin Z,CTSZ,1,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum,extracellular region part,extracellular space,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.56683,-1.05218,-1.22469,,,,9,23.6,46.503,5.94E-23,8,10,9,6584200,2335300,9081700,4479100,5092600,2289100,-1.28123,-1.22469,0.261943,-0.204446,0.172511,-1.56683,-1.05218,0.51465,3,Q13510-2;Q13510;E7EMM4;E7ERV9;E9PDS0,Q13510-2;Q13510;E7EMM4;E7ERV9;E9PDS0,Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta,ASAH1,5,,,,905,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle lumen,intracellular organelle part,intracellular part,lysosomal lumen,lysosome,lytic vacuole,membrane-bounded organelle,membrane-enclosed lumen,organelle,organelle lumen,organelle part,vacuolar lumen,vacuolar part,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.748917,-0.482533,-0.498648,,,,19,72.3,25.035,1.32E-285,36,36,34,122340000,88132000,168830000,130000000,113170000,91067000,-0.576699,-0.498648,0.149363,-0.258996,0.0161147,-0.748917,-0.482533,0.266384,3,P30041,P30041,Peroxiredoxin-6,PRDX6,1,,,,628;629,,,cell part,cytoplasmic membrane-bounded vesicle,cytoplasmic part,cytoplasmic vesicle,cytosol,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,membrane-bounded vesicle,organelle,vacuole,vesicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.28076,-1.08097,-0.96773,,,,5,11.2,54.341,9.52E-26,4,5,5,3181600,1819000,3655100,2166100,3317800,2000800,-1.10982,-1.08097,0.158494,-0.142811,0.113243,-1.28076,-0.96773,0.313025,3,Q9UHL4,Q9UHL4,Dipeptidyl peptidase 2,DPP7,1,,,,,,,cell part,cytoplasmic membrane-bounded vesicle,cytoplasmic part,cytoplasmic vesicle,extracellular region,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,membrane-bounded vesicle,organelle,vacuole,vesicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.447072,-0.473571,-0.208828,,,,12,27.9,56.639,1.27E-102,15,16,21,17999000,15927000,16373000,17212000,12735000,13127000,-0.37649,-0.447072,0.145803,-0.387269,0.0264985,-0.473571,-0.208828,0.264743,3,Q9UHG3;F8W8W4,Q9UHG3;F8W8W4,Prenylcysteine oxidase 1,PCYOX1,2,,,,,,,cell part,cytoplasmic part,extracellular region part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,macromolecular complex,membrane-bounded organelle,organelle,plasma lipoprotein particle,protein-lipid complex,triglyceride-rich lipoprotein particle,vacuole,very-low-density lipoprotein particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.54688,-1.12045,-1.56884,,,,3,15.4,23.699,1.20E-13,4,3,4,1702500,603760,1553800,657490,1979800,785450,-1.41206,-1.54688,0.252775,-0.179012,0.0219594,-1.56884,-1.12045,0.448386,3,G3V3D1;E7EMS2;G3V3E8;H0YIZ1;P61916;J3KMY5;B4DQV7;G3V2V8,G3V3D1;E7EMS2;G3V3E8;H0YIZ1;P61916;J3KMY5;B4DQV7;G3V2V8,Epididymal secretory protein E1,NPC2,8,,,,,,,cell part,cytoplasmic part,extracellular region,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.156138,-0.0185565,-0.0118207,,,,7,10.5,95.785,2.78E-33,8,10,8,4416700,5834100,4694500,6459400,3475700,4677300,0.0419202,-0.0118207,0.0989726,2.36098,0.00673581,-0.0185565,0.156138,0.174694,3,P45974;P45974-2;F5H571,P45974;P45974-2,Ubiquitin carboxyl-terminal hydrolase 5,USP5,3,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
