Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
3.35092,3.55053,3.02025,,,,14,32.6,48.057,1.15E-101,12,12,13,20433000,24333000,20516000,23954000,12166000,23211000,3.30724,3.35092,0.267825,0.0809815,0.19961,3.02025,3.55053,0.530278,3,P05783;F8VZY9;CON__H-INV:HIT000015463,P05783;F8VZY9,"Keratin, type I cytoskeletal 18",KRT18,3,,,,,,,anatomical structure morphogenesis,biological regulation,cell cycle,cellular process,developmental process,establishment of localization,establishment of localization in cell,establishment of protein localization,Golgi to plasma membrane CFTR protein transport,Golgi to plasma membrane protein transport,Golgi to plasma membrane transport,Golgi vesicle transport,interspecies interaction between organisms,intracellular protein transport,intracellular transport,multi-organism process,negative regulation of apoptosis,negative regulation of biological process,negative regulation of cell death,negative regulation of cellular process,negative regulation of programmed cell death,post-Golgi vesicle-mediated transport,protein transport,regulation of apoptosis,regulation of biological process,regulation of cell death,regulation of cellular process,regulation of programmed cell death,transport,vesicle-mediated transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.80921,2.04068,NaN,+,,,2,10.7,37.732,0.0012896,2,3,1,94983,13293000,591900,19060000,70166,10718000,2.92495,2.92495,1.25054,0.427542,0.884263,2.04068,3.80921,1.76853,2,P25445;H7C5Z8;P25445-7;P25445-6;P25445-4;P25445-5;P25445-2;P25445-3,P25445;H7C5Z8;P25445-7;P25445-6;P25445-4;P25445-5;P25445-2;P25445-3,Tumor necrosis factor receptor superfamily member 6,FAS,8,20,,37,,92,,activation of caspase activity,activation of pro-apoptotic gene products,anti-apoptosis,apoptosis,biological regulation,cell death,cellular process,cellular response to abiotic stimulus,cellular response to chemical stimulus,cellular response to external stimulus,cellular response to hyperoxia,cellular response to mechanical stimulus,cellular response to oxygen levels,cellular response to stimulus,cellular response to stress,death,immune response,immune system process,negative regulation of apoptosis,negative regulation of biological process,negative regulation of cell death,negative regulation of cellular process,negative regulation of programmed cell death,positive regulation of apoptosis,positive regulation of biological process,positive regulation of caspase activity,positive regulation of catalytic activity,positive regulation of cell death,positive regulation of cellular process,positive regulation of hydrolase activity,positive regulation of molecular function,positive regulation of necrotic cell death,positive regulation of peptidase activity,positive regulation of programmed cell death,programmed cell death,regulation of apoptosis,regulation of biological process,regulation of catalytic activity,regulation of cell death,regulation of cellular process,regulation of cysteine-type endopeptidase activity,regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of endopeptidase activity,regulation of hydrolase activity,regulation of metabolic process,regulation of molecular function,regulation of necrotic cell death,regulation of peptidase activity,regulation of programmed cell death,response to abiotic stimulus,response to chemical stimulus,response to external stimulus,response to hyperoxia,response to mechanical stimulus,response to oxygen levels,response to stimulus,response to stress,,,,,,,,,,,,,,,,,,,,,,,,,
2.65878,2.41954,2.3992,,,,3,11.9,24.267,4.55E-16,2,2,2,334500,2365600,607050,3647500,442600,2913200,2.49251,2.41954,0.144358,0.0579168,0.0203404,2.3992,2.65878,0.259584,3,O95716;Q96E17;P20336,O95716,Ras-related protein Rab-3D,RAB3D,3,,,,,,,biological regulation,cellular process,cellular response to stimulus,establishment of localization,establishment of localization in cell,establishment of protein localization,exocytosis,glutamate secretion,intracellular signal transduction,protein transport,regulation of biological process,regulation of cellular process,response to stimulus,secretion,secretion by cell,signal release,signal transduction,small GTPase mediated signal transduction,transport,vesicle-mediated transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.59452,2.08471,2.1306,,,,6,37,24.758,4.47E-109,7,10,10,1003300,4675600,2466500,10794000,1892000,8235000,2.26995,2.1306,0.282029,0.124245,0.0458908,2.08471,2.59452,0.509814,3,P20337,P20337,Ras-related protein Rab-3B,RAB3B,1,,,,543;544,,,biological regulation,cellular process,cellular response to stimulus,establishment of localization,establishment of protein localization,intracellular signal transduction,protein transport,regulation of biological process,regulation of cellular process,response to stimulus,signal transduction,small GTPase mediated signal transduction,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,2.17769,1.92277,,,,3,7,42.064,1.28E-06,1,2,3,66834,110620,231320,1356700,296240,1055000,2.05023,2.05023,0.18026,0.0879217,0.127463,1.92277,2.17769,0.254926,2,P15104,P15104,Glutamine synthetase,GLUL,1,,,,,,,amine biosynthetic process,amine catabolic process,amine metabolic process,biological regulation,biosynthetic process,carboxylic acid biosynthetic process,carboxylic acid catabolic process,carboxylic acid metabolic process,catabolic process,cell proliferation,cellular amine metabolic process,cellular amino acid biosynthetic process,cellular amino acid catabolic process,cellular amino acid metabolic process,cellular biosynthetic process,cellular catabolic process,cellular ketone metabolic process,cellular metabolic process,cellular nitrogen compound biosynthetic process,cellular nitrogen compound metabolic process,cellular process,establishment of localization,glutamate catabolic process,glutamate metabolic process,glutamine biosynthetic process,glutamine family amino acid biosynthetic process,glutamine family amino acid catabolic process,glutamine family amino acid metabolic process,glutamine metabolic process,metabolic process,neurotransmitter transport,neurotransmitter uptake,nitrogen compound metabolic process,organic acid biosynthetic process,organic acid catabolic process,organic acid metabolic process,oxoacid metabolic process,primary metabolic process,regulation of biological quality,regulation of neurotransmitter levels,small molecule biosynthetic process,small molecule catabolic process,small molecule metabolic process,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.98848,1.78864,1.85611,,,,4,13.5,43.87,2.25E-48,4,4,4,1355000,5783400,1390000,5178900,1478300,5407700,1.87775,1.85611,0.101662,0.0541405,0.0674653,1.78864,1.98848,0.199841,3,J3QT22;Q9Y570;Q9Y570-2;Q9Y570-3;F5H2D4,J3QT22;Q9Y570;Q9Y570-2;Q9Y570-3,Protein phosphatase methylesterase 1,PPME1,5,,,,,,,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,demethylation,macromolecule metabolic process,macromolecule modification,metabolic process,one-carbon metabolic process,primary metabolic process,protein dealkylation,protein demethylation,protein metabolic process,protein modification process,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53411,2.11863,1.57095,,,,9,37.7,36.071,2.62E-39,13,10,11,3235200,11608000,2234800,11157000,3150900,10690000,1.74123,1.57095,0.327354,0.188002,0.0368371,1.53411,2.11863,0.584514,3,O00151,O00151,PDZ and LIM domain protein 1,PDLIM1,1,,,,226,,,response to chemical stimulus,response to oxidative stress,response to stimulus,response to stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55006,1.81053,1.77505,,,,28,46.8,69.412,8.31E-171,16,19,13,5815100,11335000,13515000,31072000,3375900,9694800,1.71188,1.77505,0.141255,0.0825146,0.0354748,1.55006,1.81053,0.260462,3,P15311;E7EQR4,P15311;E7EQR4,Ezrin,EZR,2,,,,23;24;505,,,actin cytoskeleton organization,actin filament bundle assembly,actin filament organization,actin filament-based process,axon guidance,biological adhesion,biological regulation,cell adhesion,cell-cell adhesion,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,chemotaxis,cytoskeletal anchoring at plasma membrane,cytoskeleton organization,leukocyte cell-cell adhesion,locomotion,maintenance of location,maintenance of location in cell,maintenance of protein location,maintenance of protein location in cell,membrane docking,membrane to membrane docking,organelle organization,regulation of anatomical structure morphogenesis,regulation of biological process,regulation of biological quality,regulation of cell morphogenesis,regulation of cell shape,regulation of cellular component organization,regulation of cellular process,regulation of developmental process,response to chemical stimulus,response to external stimulus,response to stimulus,taxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64048,1.91127,1.47918,,,,7,22.2,35.7,1.82E-35,4,7,3,635940,2624600,1703200,7226500,513280,2020700,1.67698,1.64048,0.218345,0.130202,0.161303,1.47918,1.91127,0.432091,3,Q96CX2;Q6ZWB6;Q68DU8,Q96CX2,BTB/POZ domain-containing protein KCTD12,KCTD12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15475,1.12148,NaN,,,,2,10.2,21.802,1.79E-05,2,2,0,225910,910420,428350,1114300,0,0,1.63811,1.63811,0.730629,0.446019,0.516633,1.12148,2.15475,1.03327,2,Q93045-2;Q93045;E5RGX5,Q93045-2;Q93045;E5RGX5,Stathmin-2;Stathmin,STMN2,3,,,,,,,biological regulation,cell differentiation,cellular developmental process,cellular process,cellular response to stimulus,developmental process,intracellular signal transduction,negative regulation of biological process,negative regulation of cell projection organization,negative regulation of cellular component organization,negative regulation of cellular process,negative regulation of cytoskeleton organization,negative regulation of microtubule depolymerization,negative regulation of microtubule polymerization,negative regulation of microtubule polymerization or depolymerization,negative regulation of neuron projection development,negative regulation of organelle organization,negative regulation of protein complex assembly,negative regulation of protein complex disassembly,negative regulation of protein polymerization,neuron differentiation,positive regulation of biological process,positive regulation of cell projection organization,positive regulation of cellular component organization,positive regulation of cellular process,positive regulation of cytoskeleton organization,positive regulation of microtubule depolymerization,positive regulation of microtubule polymerization or depolymerization,positive regulation of neuron projection development,positive regulation of organelle organization,positive regulation of protein complex disassembly,regulation of biological process,regulation of cell development,regulation of cell differentiation,regulation of cell projection organization,regulation of cellular component biogenesis,regulation of cellular component organization,regulation of cellular process,regulation of cytoskeleton organization,regulation of developmental process,regulation of microtubule cytoskeleton organization,regulation of microtubule depolymerization,regulation of microtubule polymerization,regulation of microtubule polymerization or depolymerization,regulation of microtubule-based process,regulation of multicellular organismal development,regulation of multicellular organismal process,regulation of nervous system development,regulation of neurogenesis,regulation of neuron differentiation,regulation of neuron projection development,regulation of organelle organization,regulation of protein complex assembly,regulation of protein complex disassembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
